Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"June 21, 2001",12:04:46,127,Total,−0.5701,1.0495,4:57,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}11°18′S 2°42′E﻿ / ﻿11.3°S 2.7°E﻿ / -11.3; 2.7",200,120,"Total: Angola, Zambia, Zimbabwe, Mozambique and MadagascarPartial: Eastern South America, Africa",,[a][4]
"December 14, 2001",20:53:01,132,Annular,0.4089,0.9681,3:53,0°36′N 130°42′W﻿ / ﻿0.6°N 130.7°W﻿ / 0.6; -130.7,126,78,"Annular: Nicaragua and Costa RicaPartial: North and Central America, northwestern South America, Hawaii",,[a][4]
"June 10, 2002",23:45:22,137,Annular,0.1993,0.9962,0:23,34°30′N 178°36′W﻿ / ﻿34.5°N 178.6°W﻿ / 34.5; -178.6,13,8.1,"Annular: Indonesia, Kayangel Atoll, the Northern Mariana Islands, Jalisco, MexicoPartial: Eastern Asia, Northeastern Australia, North America, Hawaii",,[a][4]
"December 4, 2002",07:32:16,142,Total,−0.302,1.0244,2:04,39°30′S 59°36′E﻿ / ﻿39.5°S 59.6°E﻿ / -39.5; 59.6,87,54,"Total: Angola, Botswana, Zimbabwe, South Africa, Mozambique and South AustraliaPartial: Africa, Antarctica, Indonesia, Australia",,[a][4]
"May 31, 2003",04:09:22,147,Annular,0.996,0.9384,3:37,66°36′N 24°30′W﻿ / ﻿66.6°N 24.5°W﻿ / 66.6; -24.5,—,—,"Annular: Greenland, Iceland, northeastern Scotland, Faroe Islands, Shetland IslandsPartial: Eastern Europe, North Asia, West Asia, Middle East, Alaska, Greenland, northwestern Canada",,[a][4]
"November 23, 2003",22:50:22,152,Total,−0.9638,1.0379,1:57,72°42′S 88°24′E﻿ / ﻿72.7°S 88.4°E﻿ / -72.7; 88.4,495,308,"Total: East AntarcticaPartial: Australia, New Zealand, Antarctica, southern Chile and Argentina",,[a][4]
"April 19, 2004",13:35:05,119,Partial,−1.1335,0.7367,—,61°36′S 44°18′E﻿ / ﻿61.6°S 44.3°E﻿ / -61.6; 44.3,—,—,"Partial: Antarctica, Southern Africa",,[a][4]
"October 14, 2004",03:00:23,124,Partial,1.0348,0.9282,—,61°12′N 153°42′W﻿ / ﻿61.2°N 153.7°W﻿ / 61.2; -153.7,—,—,"Partial: Eastern Russia, Mongolia, northeastern China, Korea, Japan, Hawaii, western Alaska",,[a][4]
"April 8, 2005",20:36:51,129,Hybrid,−0.3473,1.0074,0:42,10°36′S 119°00′W﻿ / ﻿10.6°S 119.0°W﻿ / -10.6; -119.0,27,17,"Total: NoneAnnular: Bounty Islands, Southeastern French Polynesia, Panama, Colombia, VenezuelaPartial: New Zealand, Oceania, West Antarctica, Mexico, Central America, Caribbean, Western South America",,[a][4]
"October 3, 2005",10:32:47,134,Annular,0.3306,0.9576,4:32,12°54′N 28°42′E﻿ / ﻿12.9°N 28.7°E﻿ / 12.9; 28.7,162,101,"Annular: Portugal, Spain, Algeria, Tunisia, Libya, Chad, Sudan, Ethiopia, Kenya and SomaliaPartial: Europe, Africa, Middle East, South Asia",,[a][4]
"March 29, 2006",10:12:23,139,Total,0.3843,1.0515,4:07,23°12′N 16°42′E﻿ / ﻿23.2°N 16.7°E﻿ / 23.2; 16.7,184,114,"Total: Brazil, Ghana, Togo, Benin, Nigeria, Niger, Libya, northwest Egypt, Turkey, Georgia, southwestern Russia and KazakhstanPartial: Eastern South America, North Africa, Central Africa, Europe, Middle East, Central Asia, South Asia",,[a][4]
"September 22, 2006",11:41:16,144,Annular,−0.4062,0.9352,7:09,20°36′S 9°06′W﻿ / ﻿20.6°S 9.1°W﻿ / -20.6; -9.1,261,162,"Annular: Guyana, Suriname and French GuianaPartial: South America, West Africa, Southern Africa, Antarctic Peninsula, East Antarctica",,[a][4]
"March 19, 2007",02:32:57,149,Partial,1.0728,0.8756,—,61°00′N 55°30′E﻿ / ﻿61.0°N 55.5°E﻿ / 61.0; 55.5,—,—,"Partial: Northeastern Europe, Asia, Alaska",,[a][4]
"September 11, 2007",12:32:24,154,Partial,−1.1255,0.7507,—,61°00′S 90°12′W﻿ / ﻿61.0°S 90.2°W﻿ / -61.0; -90.2,—,—,"Partial: Central and Southern South America, Antarctic Peninsula, East Antarctica",,[a][4]
