Date,Time_of_greatest_eclipse_terrestrial_time,Saros,Type,Gamma,Magnitude,Central_duration_min_s,Latitude,Longitude,Path_width_km,Path_width_miles
2001-06-21,12:04:46,127,Total,−0.5701,1.0495,4:57,-11.3,2.7,200,120
2001-12-14,20:53:01,132,Annular,0.4089,0.9681,3:53,0.6,-130.7,126,78
2002-06-10,23:45:22,137,Annular,0.1993,0.9962,0:23,34.5,-178.6,13,8.1
2002-12-04,07:32:16,142,Total,−0.302,1.0244,2:04,-39.5,59.6,87,54
2003-05-31,04:09:22,147,Annular,0.996,0.9384,3:37,66.6,-24.5,—,—
2003-11-23,22:50:22,152,Total,−0.9638,1.0379,1:57,-72.7,88.4,495,308
2004-04-19,13:35:05,119,Partial,−1.1335,0.7367,—,-61.6,44.3,—,—
2004-10-14,03:00:23,124,Partial,1.0348,0.9282,—,61.2,-153.7,—,—
2005-04-08,20:36:51,129,Hybrid,−0.3473,1.0074,0:42,-10.6,-119.0,27,17
2005-10-03,10:32:47,134,Annular,0.3306,0.9576,4:32,12.9,28.7,162,101
2006-03-29,10:12:23,139,Total,0.3843,1.0515,4:07,23.2,16.7,184,114
2006-09-22,11:41:16,144,Annular,−0.4062,0.9352,7:09,-20.6,-9.1,261,162
2007-03-19,02:32:57,149,Partial,1.0728,0.8756,—,61.0,55.5,—,—
2007-09-11,12:32:24,154,Partial,−1.1255,0.7507,—,-61.0,-90.2,—,—
2008-02-07,03:56:10,121,Annular,−0.957,0.965,2:12,-67.6,-150.5,444,276
2008-08-01,10:22:12,126,Total,0.8307,1.0394,2:27,65.7,72.3,237,147
2009-01-26,07:59:45,131,Annular,−0.282,0.9282,7:54,-34.1,70.2,280,170
2009-07-22,02:36:25,136,Total,0.0698,1.0799,6:39,24.2,144.1,258,160
2010-01-15,07:07:39,141,Annular,0.4002,0.919,11:08,1.6,69.3,333,207
2010-07-11,19:34:38,146,Total,−0.6788,1.058,5:20,-19.7,-121.9,259,161
2011-01-04,08:51:42,151,Partial,1.0627,0.8576,—,64.7,20.8,—,—
