Date,eclipse_type,country
2001-06-21,Total,Angola
2001-06-21,Total,Zambia
2001-06-21,Total,Zimbabwe
2001-06-21,Total,Mozambique
2001-06-21,Total,Madagascar
2001-12-14,Annular,Nicaragua
2001-12-14,Annular,Costa Rica
2002-06-10,Annular,Indonesia
2002-06-10,Annular,Palau
2002-06-10,Annular,Northern Mariana Islands
2002-06-10,Annular,Mexico
2002-12-04,Total,Angola
2002-12-04,Total,Botswana
2002-12-04,Total,Zimbabwe
2002-12-04,Total,South Africa
2002-12-04,Total,Mozambique
2002-12-04,Total,Australia
2003-05-31,Annular,Greenland
2003-05-31,Annular,Iceland
2003-05-31,Annular,United Kingdom
2003-05-31,Annular,Faroe Islands
2003-11-23,Total,Antarctica
2005-04-08,Total,NA
2005-04-08,Annular,New Zealand
2005-04-08,Annular,French Polynesia
2005-04-08,Annular,Panama
2005-04-08,Annular,Colombia
2005-04-08,Annular,Venezuela
2005-10-03,Annular,Portugal
2005-10-03,Annular,Spain
2005-10-03,Annular,Algeria
2005-10-03,Annular,Tunisia
2005-10-03,Annular,Libya
2005-10-03,Annular,Chad
2005-10-03,Annular,Sudan
2005-10-03,Annular,Ethiopia
2005-10-03,Annular,Kenya
2005-10-03,Annular,Somalia
2006-03-29,Total,Brazil
2006-03-29,Total,Ghana
2006-03-29,Total,Togo
2006-03-29,Total,Benin
2006-03-29,Total,Nigeria
2006-03-29,Total,Niger
2006-03-29,Total,Libya
2006-03-29,Total,Egypt
2006-03-29,Total,Turkey
2006-03-29,Total,Georgia
2006-03-29,Total,Russia
2006-03-29,Total,Kazakhstan
2006-09-22,Annular,Guyana
2006-09-22,Annular,Suriname
2006-09-22,Annular,France
2008-02-07,Annular,Antarctica
2008-08-01,Total,Canada
2008-08-01,Total,Greenland
2008-08-01,Total,Russia
2008-08-01,Total,Mongolia
2008-08-01,Total,China
2009-01-26,Annular,Australia
2009-01-26,Annular,Indonesia
2009-01-26,Annular,Malaysia
2009-01-26,Annular,Brunei
2009-07-22,Total,Pakistan
2009-07-22,Total,India
2009-07-22,Total,Nepal
2009-07-22,Total,Bhutan
2009-07-22,Total,Bangladesh
2009-07-22,Total,Myanmar
2009-07-22,Total,China
2009-07-22,Total,Japan
2010-01-15,Annular,Central African Republic
2010-01-15,Annular,Democratic Republic of the Congo
2010-01-15,Annular,Uganda
2010-01-15,Annular,Maldives
2010-01-15,Annular,India
2010-01-15,Annular,Pakistan
2010-01-15,Annular,Sri Lanka
2010-01-15,Annular,Myanmar
2010-01-15,Annular,China
2010-07-11,Total,Chile
2010-07-11,Total,Argentina
2010-07-11,Total,French Polynesia
2010-07-11,Total,Pitcairn Islands
2012-05-20,Annular,China
2012-05-20,Annular,Hong Kong
2012-05-20,Annular,Macau S.A.R
2012-05-20,Annular,Japan
2012-05-20,Annular,United States of America
2012-11-13,Total,Australia
2013-05-10,Annular,Australia
2013-05-10,Annular,Papua New Guinea
2013-05-10,Annular,Solomon Islands
2013-05-10,Annular,Kiribati
2013-11-03,Total,Gabon
2013-11-03,Total,Republic of the Congo
2013-11-03,Total,Democratic Republic of the Congo
2013-11-03,Total,Uganda
2013-11-03,Total,Kenya
2013-11-03,Total,Ethiopia
2014-04-29,Annular,Antarctica
2015-03-20,Total,Faroe Islands
2015-03-20,Total,Norway
2015-03-20,Total,NA
2016-03-09,Total,Indonesia
2016-03-09,Total,Micronesia
2016-03-09,Total,Marshall Islands
2016-09-01,Annular,Gabon
2016-09-01,Annular,Congo
2016-09-01,Annular,Democratic Republic of the Congo
2016-09-01,Annular,Tanzania
2016-09-01,Annular,Mozambique
2016-09-01,Annular,Madagascar
2016-09-01,Annular,France
2017-02-26,Annular,Chile
2017-02-26,Annular,Argentina
2017-02-26,Annular,Angola
2017-02-26,Annular,Democratic Republic of the Congo
2017-08-21,Total,United States of America
2017-08-21,Total,Georgia
2019-07-02,Total,Pitcairn Islands
2019-07-02,Total,French Polynesia
2019-07-02,Total,Chile
2019-07-02,Total,Argentina
2019-12-26,Annular,Saudi Arabia
2019-12-26,Annular,Qatar
2019-12-26,Annular,United Arab Emirates
2019-12-26,Annular,Oman
2019-12-26,Annular,India
2019-12-26,Annular,Sri Lanka
2019-12-26,Annular,Malaysia
2019-12-26,Annular,Indonesia
2019-12-26,Annular,Singapore
2019-12-26,Annular,Northern Mariana Islands
2019-12-26,Annular,Guam
2020-06-21,Annular,Democratic Republic of the Congo
2020-06-21,Annular,South Sudan
2020-06-21,Annular,Ethiopia
2020-06-21,Annular,Eritrea
2020-06-21,Annular,Yemen
2020-06-21,Annular,Saudi Arabia
2020-06-21,Annular,Oman
2020-06-21,Annular,Pakistan
2020-06-21,Annular,India
2020-06-21,Annular,China
2020-06-21,Annular,Taiwan
2020-12-14,Total,Chile
2020-12-14,Total,Argentina
2021-06-10,Annular,Canada
2021-06-10,Annular,Greenland
2021-06-10,Annular,NA
2021-06-10,Annular,Russia
2021-12-04,Total,Antarctica
2023-04-20,Total,Australia
2023-04-20,Total,Timor-Leste
2023-04-20,Total,Indonesia
2023-10-14,Annular,United States of America
2023-10-14,Annular,Mexico
2023-10-14,Annular,Belize
2023-10-14,Annular,Honduras
2023-10-14,Annular,Nicaragua
2023-10-14,Annular,Costa Rica
2023-10-14,Annular,Panama
